公司,年/月,季別,合併(Y/N),月份,幣別,  現金及約當現金,  透過損益按公允價值衡量之金融資產－流動,  透過其他綜合損益按公允價值衡量之金融資產－流動,  按攤銷後成本衡量之金融資產－流動,  避險之金融資產－流動,  合約資產－流動,  應收帳款及票據,  其他應收款,  資金貸予他人－流動,  存貨,  待出售非流動資產,  當期所得稅資產－流動,流動資產,  透過損益按公允價值衡量之金融資產－非流動,  透過其他綜合損益按公允價值衡量之金融資產－非流動,  按攤銷後成本衡量之金融資產－非流動,  避險之金融資產－非流動,  合約資產－非流動,  採權益法之長期股權投資,  預付投資款,  不動產廠房及設備,  商譽及無形資產合計,    遞延所得稅資產,  遞延資產合計,    使用權資產,    投資性不動產淨額,  其他非流動資產,非流動資產,資產總額,  短期借款,  應付商業本票∕承兌匯票,  透過損益按公允價值衡量之金融負債－流動,  避險之金融負債－流動,  按攤銷後成本衡量之金融負債－流動,  合約負債－流動,  應付帳款及票據,  其他應付款,  當期所得稅負債,  負債準備－流動,  與待出售非流動資產直接相關之負債,  租賃負債─流動,  一年內到期長期負債,  特別股負債－流動,流動負債,  透過損益按公允價值衡量之金融負債－非流動,  避險之金融負債－非流動,  按攤銷後成本衡量之金融負債－非流動,  合約負債－非流動,  特別股負債－非流動,  應付公司債－非流動,  銀行借款－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,  遞延貸項,  應計退休金負債,  遞延所得稅,非流動負債,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,    換股權利證書,  股本,  資本公積合計,    法定盈餘公積,    特別盈餘公積,    未分配盈餘,  保留盈餘,  其他權益,  庫藏股票帳面值,母公司股東權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,股東權益總額,負債及股東權益總額
1101 台泥,2024/09,3,Y,09,NTD,"74,379,277","3,784,972","7,454,833","22,621,887","18,324","764,941","28,885,453","4,027,146",0,"21,136,631","394,978",0,"171,245,549","159,717","23,823,655","31,384,419",0,0,"24,983,938",0,"209,680,187","65,913,551",0,0,"17,589,762","17,074,173","59,296,523","415,241,990","586,487,539","36,200,420","3,362,080",0,0,0,"2,330,346","18,551,024","15,362,506","2,930,423",0,0,"802,940","4,547,584",0,"85,893,664",0,0,0,0,0,"82,689,992","64,624,432","11,856,849","4,907,884","1,116,841",0,"1,468,043","28,298,355","197,210,153","283,103,817","75,511,817","2,000,000",0,0,0,"77,511,817","74,019,661","25,268,012","12,999,032","31,420,076","69,687,120","26,423,806","-732,459","246,909,945",0,0,"56,473,777","303,383,722","586,487,539"
1103 嘉泥,2024/09,3,Y,09,NTD,"1,971,529","1,437,239","2,448,676","3,795,097",0,0,"280,885","61,160",0,"133,258",0,"8,408","10,246,779",0,"9,653,890","16,753",0,0,"4,002,713",0,"4,102,211","1,884","284,945","284,945","1,281,877","6,334,552","7,694,305","25,756,701","36,003,480","1,136,750",0,0,0,0,"61,025","203,282","201,891","5,634",0,0,"106,154","702,972",0,"2,454,258",0,0,0,0,0,0,"7,749,905",0,"1,316,828",0,0,0,"1,618,750","11,091,088","13,545,346","7,902,474",0,0,0,0,"7,902,474","1,375,977","2,579,114","2,256,181","5,546,772","10,382,067","3,107,286","-1,055,710","21,712,094",0,0,"746,040","22,458,134","36,003,480"
