CO_ID,YYYY/MM,Total cash and cash equivalents,Total due from the central bank and call loans to banks,Total financial assets at fair value through profit or loss,"Derivative financial assets, net","Securities purchased under resell agreements, net","Receivables, net",Total current tax assets,"Assets classified as held for sale, net","Discounts and loans, net","Financial assets at fair value through other comprehensive income, net","Financial assets measured at amortized cost, net","Investments measured by equity method, net","Restricted assets, net","Other financial assets, net","Total property, plant and equipment",Right of use assets,"Investment property, net","Intangible assets, net",Total deferred tax assets,"Other assets, net",Total assets,Total deposits from the central bank and banks,Total due to the central bank and banks,Total financial liabilities at fair value through profit or loss,"Derivative financial liabilities, net",Financial liabilities measured at amortized cost,Total notes and bonds issued under repurchase agreement,Commercial Paper Payable,Total payables,Total current tax liabilities,Total liabilities related to assets classified as held for sale,Total deposits and remittances,Bonds & Convertible,Total preferred stock liabilities,Total other financial liabilities,Total provisions,Lease liabilities,Accrued Pension Payable,Total deferred income tax liabilities,Total other liabilities,Total liabilities,Common stock,Preferred stock,Advance receipts for capital stock,Reserve for capitalization,Employee Stock Option,Total capital,Total capital surplus,Legal reserve,Special reserve,Total unappropriated earnings,Total retained earnings,Exchange differences on translation of foreign financial statements,Total unrealized gains (losses) on fin. assets at fair value through OCI,Credit risk on fair value measurement of financial liabilities,Remeasurement of defined benefit plans,Total gains (losses) on hedging instrument,"Total revaluation of property, plant, and equipment",Total equity related to assets classified as held for sale,Unearned compensation,"Other equity, others",Total other equity interest,Total Treasury shares,Total equity attributable to owners of parent,Non-controlling interests,Interests in the former associate or jointly controlled entity,Non-controlling interest in pre-acquisition share capital,Total equity,Total Liabilities & Equity
000055 Deutsche Bank A.G.,2023/12,51995.00 ,2439975.00 ,17031639.00 ,0.00 ,0.00 ,381101.00 ,8141.00 ,0.00 ,5025556.00 ,848738.00 ,0.00 ,0.00 ,0.00 ,0.00 ,26175.00 ,71507.00 ,0.00 ,0.00 ,0.00 ,11207757.00 ,37092584.00 ,0.00 ,0.00 ,12497465.00 ,0.00 ,0.00 ,0.00 ,0.00 ,455986.00 ,2650.00 ,0.00 ,14050427.00 ,0.00 ,0.00 ,0.00 ,172060.00 ,65450.00 ,0.00 ,192326.00 ,7986309.00 ,35422673.00 ,510000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,510000.00 ,0.00 ,0.00 ,0.00 ,1155743.00 ,1155743.00 ,-,-,-,-,-,-,-,-,-,4168.00 ,0.00 ,1669911.00 ,0.00 ,0.00 ,0.00 ,1669911.00 ,37092584.00 
"000060 BNP Paribas, Taipei",2023/12,161770.00 ,6442583.00 ,38940709.00 ,0.00 ,0.00 ,5571983.00 ,131874.00 ,0.00 ,51490150.00 ,3730051.00 ,320456.00 ,0.00 ,0.00 ,0.00 ,23126.00 ,77974.00 ,0.00 ,1704.00 ,23988.00 ,92501682.00 ,199418050.00 ,61155335.00 ,0.00 ,33737441.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1837003.00 ,359222.00 ,0.00 ,85636392.00 ,8000000.00 ,0.00 ,1655785.00 ,324362.00 ,73249.00 ,0.00 ,104054.00 ,3502165.00 ,196385008.00 ,890000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,890000.00 ,0.00 ,0.00 ,0.00 ,2171253.00 ,2171253.00 ,-,-,-,-,-,-,-,-,-,(28211.00),0.00 ,3033042.00 ,0.00 ,0.00 ,0.00 ,3033042.00 ,199418050.00 
